titulo_noticia,resumo_materia,hora_publi_origem
"Mudanças climáticas figuram como crise de saúde pública, diz Padilha","Padilha destacou que a Organização Mundial da Saúde (OMS) prevê uma em cada quatro mortes registradas globalmente como relacionada, de alguma forma, às mudanças climáticas. Ele lembrou que o Reino Unido, por exemplo, já registra a presença do mosquito Aedes aegypti, vetor tipicamente presente em países tropicais como o Brasil.  O ministro citou ainda o aumento da temperatura média como um dos fatores que podem favorecer a expansão do mosquito transmissor da dengue no Sul do país, inclusive no Rio Grande do Sul, onde quase não havia casos da doença, além do aumento de doenças crônicas, incluindo doenças cardiovasculares, causado pelas ondas de calor extremo.  Questionado sobre a preparação da pasta para eventos climáticos como o que causou as graves inundações em Porto Alegre e em boa parte do território gaúcho, em 2024, Padilha avaliou que o país está mais bem preparado atualmente do que estava à época em que as chuvas devastaram o estado.   “Mas todo cuidado é pouco”, avaliou.   Ele destacou a necessidade de manutenção do estado de...",16/09/2026 às 16:44  Agência Brasil
Cidades do noroeste de SP têm maior incidência de casos de dengue,"Dados do Núcleo de Informações Estratégicas em Saúde (NIES) de São Paulo apontam que três cidades da região noroeste do estado lideram a lista de maior incidência de dengue no acumulado de 2026. Até sexta-feira (5), foram confirmados 58.683 casos de dengue no estado em 2026. Há também 65.939 casos prováveis e 7.256 casos em investigação.   Araçatuba, Presidente Prudente e São José do Rio Preto concentram o maior coeficiente de casos confirmados de dengue por 100 mil habitantes. Em seguida, estão Taubaté, Barretos e Franca.  Na região de Araçatuba, os municípios com maior incidência são Birigui, Mirandópolis, Nova Independência e Buritama. Houve três óbitos na região. Já em Presidente...",08/09/2026 às 18:28  Agência Brasil
São Paulo tem mais de 58 mil casos de dengue desde o início do ano,"83 casos de dengue em todo o estado de São Paulo, desde o início deste ano. Também foram contabilizados 42 óbitos, número que pode crescer, pois há 30 mortes sob investigação.   De acordo com a Secretaria da Saúde, 57.402 foram classificados como casos de dengue, 1.180 como de dengue com sinais de alarme e 101 de dengue grave.  O quadro com sinais de alarme inclui vômito, dor abdominal, sangramento de mucosas e outros sintomas, enquanto o de dengue grave é configurado quando há choque ou desconforto respiratório, sangramento grave ou comprometimento severo de órgãos...",06/09/2026 às 14:43  Agência Brasil
Campanha Nacional de Multivacinação termina nesta terça-feira,"O público alvo é de crianças e adolescentes menores de 15 anos.  Somente no Dia D da Multivacinação, realizado em 22 de agosto, mais de 1 milhão de doses foram aplicadas.  Os pais e responsáveis ainda podem aproveitar o último dia da mobilização e procurar a Unidade Básica de Saúde (UBS) mais próxima para atualização do Calendário Vacinal das crianças e adolescentes.  Doenças que podem ser prevenidas  Entre as enfermidades que podem ser evitadas pela vacinação ofertada pelo SUS estão:   	sarampo,  	dengue,  	formas graves de tuberculose,  	hepatites A e B,  	difteria,  	tétano,  	coqueluche,  	poliomielite,  	infecções por rotavírus,  	pneumonias e meningites causadas por pneumococos e meningococos,  	influenza (gripe),  	covid-19,  	febre amarela,  	caxumba,  	rubéola,  	varicela (catapora),  	infecções pelo papilomavírus humano (HPV).   Pela primeira vez, a vacina pneumocócica 20-valente (Pneumo 20) foi ofertada em uma Campanha Nacional de Multivacinação, após ter sido incorporada, neste ano, ao Calendário Nacional...",01/09/2026 às 12:13  Agência Brasil
"Demora no diagnóstico agrava esclerose múltipla, alerta associação","dificuldade para andar, ia no ortopedista; e como eu tenho colangite biliar primária [inflamação com fibrose progressiva dos dutos biliares no fígado], achava que a fadiga intensa era da colangite”.  Entre 2023 e 2024, a situação se tornou insustentável para Lucimara, que passou a sentir sintomas mais pesados.    “Eu não conseguia respirar direito por causa da fadiga, era muita dor. Fiquei sem trabalhar um tempo, porque não sabia o que era, não conseguia sair da cama. Os médicos diziam que podia ser dengue e outras doenças”.         A paciente com esclerose múltipla, Lucimara Santana. Foto: Lucimara Santana/Arquivo pessoal    Quando se consultou com um ortopedista, ele pediu ressonância magnética do crânio e da cervical, e o resultado acusou uma doença paralisante.   Em seguida, um neurologista especialista solicitou outra ressonância do crânio e de toda a coluna, desde a cervical até a lombar. Lucimara fez também coleta do líquor (líquido cefalorraquidiano). Todos esses exames deram positivo para esclerose múltipla (EM)...",28/08/2026 às 10:02  Agência Brasil
"Febre do Nilo Ocidental: não há motivo para pânico, diz médico","“Não há motivo para preocupação, mas é preciso mapear os casos e manter vigilância às aves e locais com mortalidade de aves fora do normal. Vamos aguardar os estudos e resultados, mas sabendo que não é só entrar em contato com aves que você vai pegar a doença.”   A febre do Nilo Ocidental é uma infecção viral aguda causada por um arbovírus, grupo que também inclui aqueles responsáveis pela dengue, zika, chikungunya e febre amarela.   A transmissão ocorre principalmente pela picada do mosquito do gênero Culex, como pernilongo ou muriçoca, que adquire o vírus ao se alimentar de aves infectadas.   A infecção pode não provocar sintomas. Estima-se que cerca de 20% das pessoas infectadas desenvolvem manifestações clínicas, que, na maioria, são brandas.   Entre os sintomas que podem surgir estão:    	febre e mal-estar;  	falta de apetite;  	náuseas e vômitos;  	dor de cabeça; 	dor muscular;  	dor nos olhos;  	manchas na pele;  	aumento dos gânglios linfáticos;  	confusão mental; 	rebaixamento do nível de consciência...",26/08/2026 às 12:28  Agência Brasil
Dia D de vacinação é realizado neste sábado em todo o país,"Quais vacinas estarão disponíveis na campanha?  Durante o Dia D, as seguintes vacinas poderão ser aplicadas (conforme faixa etária, histórico vacinal e indicação):   	 BCG; 	hepatite B; 	penta (DTP/Hib/HB); 	poliomielite (VIP); 	rotavírus humano; 	pneumocócica conjugada 10-valente e 20-valente; 	meningocócica C; 	influenza; 	covid-19; 	febre amarela; 	meningocócica ACWY; 	tríplice viral (sarampo, caxumba e rubéola); 	varicela; 	DTP; 	hepatite A; 	dT; 	HPV4; 	dengue tetravalente.   Sarampo  Diante do aumento de casos de sarampo na Região das Américas e do registro de casos importados no Brasil, o ministério mantém a estratégia de vacinação indiscriminada contra a doença para pessoas de 6 meses a 59 anos em Guarulhos (SP), em São Bernardo do Campo (SP) e na capital paulista.  O ministro destacou que o Brasil tem registrado casos da doença vindos de outros países e alertou para a necessidade de manter a vigilância.  “Por isso, toda a atenção das famílias e do SUS é necessária para impedir que o sarampo volte a...",22/08/2026 às 07:00  Agência Brasil
País terá Dia D de Multivacinação neste sábado,"No Dia D, amanhã, as seguintes vacinas poderão ser aplicadas (conforme faixa etária, histórico vacinal e indicação):  - BCG;  - hepatite B;  - penta (DTP/Hib/HB);  - poliomielite (VIP);  - rotavírus humano;  - pneumocócica conjugada 10-valente e 20-valente;  - meningocócica C;  - influenza;  - covid-19;  - febre amarela;  - meningocócica ACWY;  - tríplice viral (sarampo, caxumba e rubéola);  - varicela;  - DTP;  - hepatite A;  - dT;  - HPV4;  - dengue tetravalente.  Sarampo  Diante do aumento de casos de sarampo nas Américas e do registro de casos importados no Brasil, o ministério mantém a estratégia de vacinação indiscriminada contra a doença para pessoas de 6 meses a 59 anos em Guarulhos (SP), São Bernardo do Campo (SP) e na capital paulista.  Dados da pasta mostram que, de 3 a 14 de agosto, mais de 529,8 mil doses da vacina tríplice viral foram aplicadas nos três municípios. Desse total, 87,2 mil doses foram destinadas a crianças de 5 a 11 anos – o equivalente a 16,5% das aplicações. Assuntos:...",21/08/2026 às 10:53  Agência Brasil
Dia D de vacinação será realizado neste sábado em todo o país,"Durante o Dia D, as seguintes vacinas poderão ser aplicadas (conforme faixa etária, histórico vacinal e indicação):  - BCG;  - hepatite B;  - penta (DTP/Hib/HB);  - poliomielite (VIP);  - rotavírus humano;  - pneumocócica conjugada 10-valente e 20-valente;  - meningocócica C;  - influenza;  - covid-19;  - febre amarela;  - meningocócica ACWY;  - tríplice viral (sarampo, caxumba e rubéola);  - varicela;  - DTP;  - hepatite A;  - dT;  - HPV4;  - dengue tetravalente.  Sarampo  Diante do aumento de casos de sarampo nas Américas e do registro de casos importados no Brasil, o ministério mantém a estratégia de vacinação indiscriminada contra a doença para pessoas de 6 meses a 59 anos em Guarulhos (SP), em São Bernardo do Campo (SP) e na capital paulista.  Dados da pasta mostram que, de 3 a 14 de agosto, mais de 529,8 mil doses da vacina tríplice viral foram aplicadas nos três municípios. Desse total, 87,2 mil doses foram destinadas a crianças de 5 a 11 anos – o equivalente a 16,5% das aplicações. Assuntos:...",19/08/2026 às 12:45  Agência Brasil
Multivacinação em São Paulo inclui 20 imunizantes em 645 municípios,"Iniciada em 3 de agosto, a ação é voltada a crianças e adolescentes menores de 15 anos e prevê a oferta de 20 imunizantes, conforme a idade, o histórico vacinal e as indicações de cada vacina.   Estão sendo oferecidas as vacinas BCG, hepatite B, pentavalente, poliomielite inativada, rotavírus, pneumocócica 10-valente, pneumocócica 20-valente, meningocócica C, influenza, covid-19, febre amarela, meningocócica ACWY, tríplice viral, varicela, DTP, hepatite A, pneumocócica 23-valente, dT, HPV e dengue tetravalente.   A vacinação é feita de acordo com o histórico vacinal, por isso os pais e responsáveis devem levar a caderneta de vacinação para conferência e aplicação apenas das doses necessárias.   Sarampo   A vacina contra o sarampo continua sendo recomendada para moradores de São Paulo, Guarulhos e São Bernardo do Campo. A vacinação é indicada para moradores de 6 meses a 59 anos, independentemente do histórico vacinal, desde que sejam respeitados os intervalos recomendados e as contraindicações.   A estratégia foi adotada após a...",14/08/2026 às 17:01  Agência Brasil
