titulo_noticia,resumo_materia,hora_publi_origem
Brasil registra quatro casos de febre do Nilo Ocidental,"O Centro Europeu de Prevenção e Controle de Doenças divulgou nesta sexta que estão mapeadas 161 áreas afetadas em 15 países do continente.  A Itália, que concentra 41 mortes, também registra o maior volume de casos, mais de 590.  Grécia e Espanha também tiveram centenas de confirmações da febre do Nilo Ocidental.  No Brasil, a doença é considerada rara quando comparada a infecções como dengue, zika e chikungunya.  Até agora, quatro casos foram confirmados no país em 2026, dois em São Paulo e dois em Santa Catarina, onde uma idosa de 77 anos faleceu.  O primeiro registro em território nacional foi em 2014, no Piauí.  A maioria das pessoas contaminadas não desenvolve sintomas ou apresenta apenas reações leves.  Quando se manifestam, os sinais incluem febre repentina, dores, vômitos e manchas na pele.  Não existe uma vacina nem medicamento específico.  A recomendação é usar repelente, instalar telas e monitorar e evitar os pernilongos. Assuntos: febre do Nilo Ocidental, saúde, Ministério da Saúde",11/09/2026 às 12:28  Radioagência Nacional
UFMG terá primeiro centro de competência em terapias e vacinas com RNA,"E o foco diferencial do uso da técnica de RNA serão os problemas de saúde da região. Os pesquisadores já trabalham em vacinas de RNA contra a malária e a doença de Chagas, doenças que, por serem típicas da América Latina, são mais difíceis de despertarem o interesse da indústria internacional. Também há estudos para dengue e chikungunya.     Assuntos: UFMG, RNA, CAR-T",03/09/2026 às 08:45  Radioagência Nacional
Super El Niño: saiba como o fenômeno pode afetar sua rotina e saúde,"A fumaça e o calor também podem afetar a saúde.A Secretaria de Estado de Saúde de Goiás elaborou um plano de emergência, no qual todos esses riscos à saúde estão contemplados, com ações já previstas para serem executadas não só pelo estado, mas também pelos municípios e pela população. A preocupação também passa pelas arboviroses. As condições climáticas podem contribuir para mudanças no cenário de doenças como dengue, zika e chikungunya. Por isso, o monitoramento e as ações de prevenção precisam continuar.A expectativa é que o fenômeno continue durante o segundo semestre. O painel brasileiro do Super El Niño aponta alta probabilidade de que o evento atinja intensidade muito forte entre a primavera e o início do verão. Acompanhar os boletins meteorológicos, evitar queimadas e ficar atento aos alertas de baixa umidade do ar e de calor são medidas importantes. Para a população, os cuidados com a hidratação e a exposição ao calor e à fumaça também merecem atenção. O Super El Niño não é um evento estático: ele muda de intensidade e os efeitos...",31/08/2026 às 14:20  TV Brasil
"Febre do Nilo Ocidental: não há motivo para pânico, diz médico","“Não há motivo para preocupação, mas é preciso mapear os casos e manter vigilância às aves e locais com mortalidade de aves fora do normal. Vamos aguardar os estudos e resultados, mas sabendo que não é só entrar em contato com aves que você vai pegar a doença.”   A febre do Nilo Ocidental é uma infecção viral aguda causada por um arbovírus, grupo que também inclui aqueles responsáveis pela dengue, zika, chikungunya e febre amarela.   A transmissão ocorre principalmente pela picada do mosquito do gênero Culex, como pernilongo ou muriçoca, que adquire o vírus ao se alimentar de aves infectadas.   A infecção pode não provocar sintomas. Estima-se que cerca de 20% das pessoas infectadas desenvolvem manifestações clínicas, que, na maioria, são brandas.   Entre os sintomas que podem surgir estão:    	febre e mal-estar;  	falta de apetite;  	náuseas e vômitos;  	dor de cabeça; 	dor muscular;  	dor nos olhos;  	manchas na pele;  	aumento dos gânglios linfáticos;  	confusão mental; 	rebaixamento do nível de consciência...",26/08/2026 às 12:28  Agência Brasil
Brasil confirma primeiros casos do ano de Febre do Nilo Ocidental,"O outro, de uma adolescente de 18 anos, de São José do Rio Preto, que está internada sob cuidados médicos. Esta é a primeira vez que o estado tem casos humanos da doença. Segundo a Secretaria de Saúde de São Paulo, os locais prováveis de infecção das duas mulheres também estão em investigação.  De acordo com o Ministério da Saúde, o vírus da Febre do Nilo Ocidental é transmitido principalmente por meio da picada de mosquitos infectados do gênero culex. São pernilongos, diferentes do mosquito da dengue.   O médico especialista em medicina tropical Dalcy Albuquerque Filho detalha os sintomas da doença:   ""As manifestações da doença são muito parecidas com as de outras doenças, como dengue, zika, chikungunya e outras infecções virais, que são mal-estar e febre não muito alta. Caso o paciente apresente algum sinal de encefalite — que seriam tonturas, dores de cabeça, mal-estar, confusão mental ou algo semelhante —, deve voltar a procurar o médico ou a sua equipe para que seja acompanhado.""   Segundo o Ministério da Saúde, cerca de 20% das...",25/08/2026 às 20:15  Radioagência Nacional
El Niño pode aumentar casos de chikungunya e dengue no Brasil,"Diante deste cenário, o Ministério da Saúde emitiu uma nota técnica para alertar estados e municípios sobre o aumento de arboviroses, como dengue e Chikungunya. De acordo com as projeções do InfoDengue/Fiocruz, o país pode registrar cerca de 1,7 milhão de casos de dengue em 2027.  A elevação das temperaturas e o aumento das chuvas em certos locais estimulam o acúmulo de água, o que cria ambientes propícios para criadouros do vetor.  Recomendações  Para atenuar esse cenário, o Ministério da Saúde defende que haja a intensificação de ações de vigilância e controle por parte de estados e municípios.  O órgão recomenda bloqueios de transmissão logo após a identificação dos primeiros casos, reestruturação das tarefas executadas pelos agentes de combate às endemias e a aplicação das tecnologias de controle de vetores indicadas pelo ministério.  Também é importante que a população...",23/07/2026 às 13:59  Agência Brasil
IBGE inicia coleta da Pesquisa Nacional de Saúde 2026,"Entre os assuntos investigados estão doenças crônicas não transmissíveis (diabetes, hipertensão, colesterol alto), saúde da mulher, saúde da população idosa, saúde bucal, saúde mental, atividade física, alimentação, tabagismo, consumo de álcool, acidentes, violência, doenças transmissíveis (dengue e Chikungunya, entre outras), pessoas com deficiência, cobertura por plano de saúde e uso dos serviços de saúde.  Em seguida, será selecionado aleatoriamente um morador com 15 anos ou mais, no domicílio pesquisado, para responder ao questionário individual da pesquisa. Como parte da coleta, os participantes selecionados para a entrevista individual terão aferidas a pressão arterial, o peso e a altura.  O objetivo é ampliar a qualidade das informações produzidas pela pesquisa e monitorar indicadores de risco à saúde como hipertensão arterial e excesso de peso corporal.  Todas as informações prestadas ao IBGE são confidenciais.  Participação da população  O IBGE destaca que a participação dos moradores dos domicílios selecionados é...",12/07/2026 às 13:23  Agência Brasil
Brasil desarrollará vacuna nacional contra el chikungunya,"En febrero de 2026, comenzó a aplicarse en el SUS en municipios con alta incidencia de la enfermedad, como parte de una estrategia piloto del Ministerio de Salud. Además de Brasil, la vacuna contra el chikungunya ha sido aprobada en Canadá y Europa.  Chikungunya  El virus chikungunya se transmite por la picadura del mosquito Aedes aegypti, el mismo que transmite el dengue y el Zika.  La enfermedad puede causar fiebre repentina (superior a 38,5 °C) y dolor intenso en las articulaciones de pies y manos, como dedos, tobillos y muñecas. Puede durar de meses a años y afectar gravemente la calidad de vida. Otros síntomas comunes incluyen dolor de cabeza, dolor muscular y manchas rojas en la piel.  Según la Organización Panamericana de la Salud (OPS), se registraron 500.000 casos de chikungunya en todo el mundo en 2025. En Brasil, hubo más de 127.000 casos y 125 muertes, según el Ministerio de Salud.   Assuntos: Anvisa, Chikungunya, Instituto Butantan",05/05/2026 às 11:18  Agência Brasil
Brazil to produce chikungunya vaccine,"In February 2026, the vaccine began to be administered through the SUS in municipalities with high disease incidence, as part of a pilot strategy by the Ministry of Health. In addition to Brazil, the chikungunya vaccine has been approved in Canada and Europe.     Chikungunya  The chikungunya virus is transmitted by the bite of the Aedes aegypti mosquito, which also transmits dengue and Zika.  The disease can cause sudden-onset fever (above 38.5°C) and severe pain in the joints of the feet and hands - such as the fingers, ankles, and wrists. Other common symptoms include headache, muscle pain, and red spots on the skin.  According to the Pan American Health Organization, 500,000 cases of chikungunya were reported worldwide in 2025.  In Brazil, more than 127,000 cases and 125 deaths were reported in the same year, according to the Ministry of Health.  The disease causes chronic joint pain, which can last for months to years and severely affect quality of life. Assuntos: Anvisa, Chikungunya, Butantan Institute",05/05/2026 às 10:47  Agência Brasil
Butantan vai produzir vacina nacional contra chikungunya,"Em fevereiro de 2026, o imunizante começou a ser aplicado no SUS em municípios que registram grande incidência da doença, a partir de uma estratégia piloto do Ministério da Saúde. Além do Brasil, a vacina da chikungunya  foi aprovada no Canadá, na Europa e no Reino Unido.  Saiba mais no Repórter Brasil Tarde, da TV Brasil    O que é chikungunya?  O vírus da chikungunya é transmitido pela picada do mosquito Aedes aegypti, o mesmo que transmite dengue e Zika.  A doença pode causar febre de início súbito (acima de 38,5°C) e dores intensas nas articulações de pés e mãos – dedos, tornozelos e punhos. Outros sintomas comuns são dor de cabeça, dor muscular e manchas vermelhas na pele.  Segundo a Organização Pan-Americana da Saúde (OPAS), em 2025, foram registrados 500 mil casos de chikungunya no mundo.  No Brasil, foram notificados mais de 127 mil casos, com 125 óbitos, de acordo com o Ministério da Saúde.  A doença causa dor crônica nas articulações, que pode durar de meses a anos e afetar gravemente a qualidade de vida. Assuntos:...",04/05/2026 às 16:53  Agência Brasil
Wagner Moura integra lista dos mais influentes do ano da revista Time,"Segundo a revista, as inovações científicas desenvolvidas por ela ajudaram os agricultores brasileiros a economizar cerca de US$ 25 bilhões por ano, além de evitar a emissão de 230 milhões de toneladas de dióxido de carbono equivalente.   Já o pesquisador Luciano Moreira foi escolhido na categoria inovadores pelo desenvolvimento e expansão de uma técnica que emprega mosquitos modificados para impedir a transmissão de doenças como dengue, zika e chikungunya.  No ano passado, Moreira já havia entrado na lista Nature’s 10, da revista Nature, por seus trabalhos ligados ao Aedes aegypti.  Saiba mais sobre os cientistas brasileiros na lista da Time   Assuntos: Wagner Moura, revista Time, 100 pessoas mais influentes do mundo, Multimídia",15/04/2026 às 15:13  Agência Brasil
Chikungunya: bebês infectados na gestação correm risco de internação,"Nós já sabemos que chikungunya durante o parto pode causar febre nos bebês por causa da transmissão vertical. Isso já foi mostrado em outras pesquisas. Mas o que achamos além disso foi que a infecção nos períodos mais cedo da gestação, como no primeiro ou segundo trimestre, também pode aumentar o risco por 25% até 30%"".   Segundo a pesquisa, as manifestações do vírus permanecem pouco estudadas quando comparadas a outras arboviroses, como a dengue e a Zika, todas transmitidas também pelo Aedes aegypti  E, entre as recomendações que o estudo traz está a maior atenção às populações vulneráveis, afirma a Mio Kushibuchi,   ""As recomendações serão que, uma coisa para que os gestores ou os trabalhadores de saúde façam campanhas para prevenção de chikungunya especialmente nas populações mais vulneráveis; e segundo, para casos que tinham infecção durante a gestação, tenham mais acompanhamentos por equipes da saúde"".   A pesquisa foi conduzida no Centro de Integração de Dados e Conhecimentos para Saúde, da Fiocruz Bahia, e por três anos - entre...",07/04/2026 às 12:32  Radioagência Nacional
Combate à dengue é primeiro desafio de coalizão global de saúde,"O Ministério da Saúde anunciou, nesta terça-feira (24), que o combate à dengue será o primeiro foco de trabalho da Coalização Global para Produção Local e Regional, Inovação e Acesso Equitativo.  A coalizão foi construída pela presidência brasileira do G20 em 2024 e tem como missão promover mundialmente o acesso equitativo a medicamentos, vacinas, terapias, diagnósticos e tecnologias de saúde. Há um olhar especial para países em desenvolvimento, cuja produção e inovação enfrentam mais obstáculos.  Os membros do grupo, além do Brasil, são África do Sul, Alemanha, China, França, Indonésia, Reino...",24/03/2026 às 19:41  Agência Brasil
